,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
184,Ben Johnson,ENG,DF,West Ham,19,3,3,270,3.0,0,0,175.0,right,3300000.0,2019.0
185,Curtis Jones,ENG,MF,Liverpool,18,6,1,126,1.4,1,0,185.0,right,33000000.0,2019.0
186,Phil Jones,ENG,DF,Manchester Utd,27,2,2,135,1.5,0,0,185.0,right,5500000.0,2019.0
187,Jorginho,ITA,MF,Chelsea,27,31,27,2379,26.4,4,2,180.0,right,44000000.0,2019.0
188,Diogo Jota,POR,MF,Wolves,22,34,27,2284,25.4,7,1,178.0,right,49500000.0,2019.0
189,Diogo Jota,POR,MF,Wolves,22,34,27,2284,25.4,7,1,178.0,right,49500000.0,2019.0
190,James Justin,ENG,DF,Leicester City,21,13,11,1012,11.2,0,1,183.0,right,18700000.0,2019.0
191,Christian Kabasele,BEL,DF,Watford,28,27,26,2250,25.0,0,2,187.0,right,7150000.0,2019.0
192,Harry Kane,ENG,FW,Tottenham,26,29,29,2587,28.7,18,2,188.0,right,132000000.0,2019.0
193,N'Golo Kanté,FRA,MF,Chelsea,28,22,20,1732,19.2,3,0,168.0,right,60500000.0,2019.0
194,Moise Kean,ITA,FW,Everton,19,29,6,852,9.5,2,2,183.0,right,38500000.0,2019.0
195,Michael Keane,ENG,DF,Everton,26,31,28,2559,28.4,2,0,188.0,right,27500000.0,2019.0
196,Naby Keïta,GUI,MF,Liverpool,24,18,9,815,9.1,2,3,172.0,right,35200000.0,2019.0
197,Lloyd Kelly,ENG,DF,Bournemouth,20,8,7,639,7.1,0,0,190.0,left,8800000.0,2019.0
198,Martin Kelly,ENG,DF,Crystal Palace,29,19,17,1549,17.2,0,1,191.0,right,1650000.0,2019.0
199,Max Kilman,ENG,DF,Wolves,22,3,2,185,2.1,0,0,192.0,left,4950000.0,2019.0
200,Joshua King,NOR,MF,Bournemouth,27,26,24,2011,22.3,6,4,187.0,right,8800000.0,2019.0
201,Joshua King,NOR,MF,Bournemouth,27,26,24,2011,22.3,6,4,187.0,right,17600000.0,2019.0
202,Timm Klose,SUI,DF,Norwich City,31,7,7,585,6.5,0,0,195.0,right,2200000.0,2019.0
203,Ezri Konsa,ENG,DF,Aston Villa,21,25,24,2039,22.7,1,2,183.0,right,27500000.0,2019.0
204,Cheikhou Kouyaté,SEN,DF,Crystal Palace,29,35,29,2528,28.1,1,1,189.0,right,6600000.0,2019.0
205,Emil Krafth,SWE,DF,Newcastle Utd,24,17,11,1020,11.3,0,1,184.0,right,3850000.0,2019.0
206,Tim Krul,NED,GK,Norwich City,31,36,36,3240,36.0,0,0,193.0,left,4400000.0,2019.0
207,Alexandre Lacazette,FRA,FW,Arsenal,28,30,22,1874,20.8,10,4,176.0,right,30800000.0,2019.0
208,Adam Lallana,ENG,FW,Liverpool,31,15,3,382,4.2,1,1,172.0,both,4400000.0,2019.0
209,Tariq Lamptey,ENG,DF,Chelsea,18,1,0,32,0.4,0,0,163.0,right,19800000.0,2019.0
210,Tariq Lamptey,ENG,DF,Brighton,18,8,7,588,6.5,0,1,163.0,right,19800000.0,2019.0
211,Henri Lansbury,ENG,FW,Aston Villa,28,10,2,195,2.2,0,0,183.0,right,1100000.0,2019.0
212,Manuel Lanzini,ARG,FW,West Ham,26,24,14,1379,15.3,0,2,167.0,right,11000000.0,2019.0
213,Aymeric Laporte,ESP,DF,Manchester City,25,15,14,1097,12.2,1,0,189.0,left,49500000.0,2019.0
214,Jamaal Lascelles,ENG,DF,Newcastle Utd,25,24,24,2076,23.1,1,0,188.0,right,14300000.0,2019.0
215,Moritz Leitner,GER,MF,Norwich City,26,9,7,685,7.6,0,0,178.0,right,2640000.0,2019.0
216,Bernd Leno,GER,GK,Arsenal,27,30,30,2649,29.4,0,0,190.0,right,24200000.0,2019.0
217,Jefferson Lerma,COL,MF,Bournemouth,24,33,31,2703,30.0,1,2,179.0,right,22000000.0,2019.0
218,Jamal Lewis,NIR,DF,Norwich City,21,28,25,2304,25.6,1,0,178.0,left,16500000.0,2019.0
219,Jamal Lewis,NIR,DF,Norwich City,21,28,25,2304,25.6,1,0,178.0,left,12100000.0,2019.0
220,Victor Lindelöf,SWE,DF,Manchester Utd,25,35,35,3092,34.4,1,0,187.0,right,26400000.0,2019.0
221,Jesse Lingard,ENG,FW,Manchester Utd,26,22,9,935,10.4,1,0,174.0,right,24200000.0,2019.0
222,Jesse Lingard,ENG,FW,Manchester Utd,26,22,9,935,10.4,1,0,174.0,right,24200000.0,2019.0
223,Hugo Lloris,FRA,GK,Tottenham,32,21,21,1807,20.1,0,0,188.0,left,9900000.0,2019.0
