,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
170,Adam Idah,18,12,1,228,2.5,0,0,190.0,990000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
171,Odion Ighalo,30,11,0,101,1.1,0,0,181.0,3850000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
172,Kelechi Iheanacho,22,20,12,960,10.7,5,3,185.0,22000000.0,2019.0,0,1,0,0,0,0,1,1,0,0,0,1
173,Danny Ings,27,38,32,2804,31.2,22,2,178.0,24200000.0,2019.0,0,0,1,0,1,0,0,1,0,1,0,0
174,Alex Iwobi,23,25,19,1596,17.7,1,0,183.0,24200000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
175,Phil Jagielka,36,6,2,244,2.7,0,0,180.0,275000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
176,Alireza Jahanbakhsh,25,10,3,311,3.5,2,0,180.0,5500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,0,1
177,Daniel James,21,33,26,2287,25.4,3,6,170.0,19800000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
178,Matty James,28,1,0,6,0.1,0,0,181.0,1100000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
179,Reece James,19,24,16,1515,16.8,0,2,180.0,44000000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
180,Daryl Janmaat,30,8,7,607,6.7,0,1,185.0,4400000.0,2019.0,0,0,1,1,0,0,0,1,0,0,1,0
181,Gabriel Jesus,22,34,21,2030,22.6,14,7,175.0,66000000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
182,Raúl Jiménez,28,38,37,3236,36.0,17,6,188.0,30800000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
183,Joelinton,22,38,32,2683,29.8,2,2,186.0,18700000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
184,Ben Johnson,19,3,3,270,3.0,0,0,175.0,3300000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
185,Curtis Jones,18,6,1,126,1.4,1,0,185.0,33000000.0,2019.0,0,0,1,0,0,0,1,0,1,1,0,0
186,Phil Jones,27,2,2,135,1.5,0,0,185.0,5500000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
187,Jorginho,27,31,27,2379,26.4,4,2,180.0,44000000.0,2019.0,0,0,1,0,0,0,1,0,1,0,1,0
188,Diogo Jota,22,34,27,2284,25.4,7,1,178.0,49500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
189,Diogo Jota,22,34,27,2284,25.4,7,1,178.0,49500000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
190,James Justin,21,13,11,1012,11.2,0,1,183.0,18700000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
